content,new,sentiment
"ये कौनसा 'आसन' है और इसका 'अर्थ' क्या है?

#ThankYouModiJiChallenge https://t.co/6eTuW37J8k",['thankyoumodijichallenge'],Positive
"तुम्हारी सत्ता की भूख ने लाखों को दाने-दाने को तरसा दिया- 
तुमने लेकिन कुछ ना किया, बस रोज़ नया जुमला दिया।

#JumlaJeevi https://t.co/7dxVs3IIsn",['jumlajeevi'],Positive
...तो चीन की कथित घुसपेठ का राज़ चीन से चंदा था। सीमा नहीं 'सोच' में हुई थी घुसपेठ।,[],Negative
"आज SGPGI, लखनऊ में राजस्थान के पूर्व राज्यपाल एवं उत्तर प्रदेश के पूर्व मुख्यमंत्री आदरणीय श्री कल्याण सिंह जी से मिल कर उनका कुशल क्षेम पूछा व उनके स्वास्थ्य में आ रहे सुधार के बारे में जानकारी प्राप्त की।

प्रभु श्री राम से प्रार्थना है कि आपको शीघ्र स्वस्थ करें। https://t.co/jxxtqKa8CT",['sgpgi'],Positive
"मुंबई के चेंबूर में हुए हादसे की हृदयविदारक घटना से मन अत्यंत व्यथित और दुःखी है।

मेरी संवेदनाएं मृतकों के परिजनों के साथ हैं। 

प्रभु श्री राम से प्रार्थना है कि दिवंगत आत्माओं को अपने श्री चरणों में स्थान व शोक संतप्त परिजनों को यह दुःख सहने की शक्ति प्रदान करें।

ॐ शांति",[],Positive
"बदल दे अपनी किस्मत,
किसी और की किस्मत बदल कर।",[],Negative
लद्दाख की प्रगति के लिए 4 नए एयरपोर्ट और 37 नए हैलीपैड बनाने के प्रस्ताव को मंजूरी देने के लिए @PMOIndia श्री @NarendraModi  जी का कोटि कोटि आभार एवं धन्यवाद।,"['pmoindia', 'narendramodi']",Positive
केंद्रीय रेल एवं आईटी मंत्री श्री @AshwiniVaishnaw जी को जन्मदिन की शुभकामनाएं। आप अपने अनुभव व समर्पण भाव से रेलवे व आईटी क्षेत्र में भारत को आत्मनिर्भर बनाने के लिए कार्य करते रहें। ईश्वर से आपके स्वास्थ्यपूर्ण जीवन व दीर्घायु की कामना करता हूँ।,['ashwinivaishnaw'],Positive
पत्रकारिता की जो लॉ #DanishSiddique जलाकर गए हैं अब उसे बुझने न देना हम सबका फ़र्ज़ है https://t.co/dxDgeJz1Ly,['danishsiddique'],Positive
"उत्तर प्रदेश पुलिस महिलाओं के प्रति क्रूर है। कानपुर देहात की ये तस्वीर, इस तथ्य की परिचायक है. एक गरीब महिला की छाती पर बैठकर, उसे पीटना और बेइज्जत करने का प्रयास, नारी अस्मिता को तार-तार करता है। वंचित और पिछड़े समाज की महिलाओं के साथ, ऐसी क्रूरता स्वीकार नहीं की जानी चाहिए। https://t.co/SY4bXu0768",[],Positive
यूपी में अब इस साल कांवड़ यात्रा नहीं होगी ! कोरोना महामारी के चलते लिया गया फैसला! संघ ने यात्रा को रद्द करने का निर्णय लिया!,[],Negative
"महंगाई कम करने का नुस्खा दे रहा हूँ।

NDA हटाओ, महंगाई घटाओ",['nda'],Negative
"अगर #योगी 2022 में CM बने, तो UP छोड़ कर चला जाऊंगा : मुनव्वर राणा #Up",['cm'],Negative
"दानिश हम शर्मिंदा हैं,
तेरे ‘कातिल’ जिंदा हैं…..
ॐ शांति 🌺🙏

#WhoKilledDanishSiddique 🤔🤔
यह बताने में “लोगों” के गले में दर्द हो रहा है",['whokilleddanishsiddique'],Negative
"उप्र में भाजपा सरकार के कृपापात्र बने कुछ पुलिसकर्मियों के दुर्व्यवहार से प्रदेश की समस्त पुलिस की छवि धूमिल होती है. 

भाजपा के शासन में दुशासन की कमी नहीं. 

घोर निंदनीय! 

#नहीं_चाहिए_भाजपा https://t.co/tOmmbpe2RZ",[],Negative
हाथ में बल्ला और बल्ले के बीच से निकली गेंद… इस्का 𝔽𝔼𝔼𝕃 ही अलग है! 🤩 https://t.co/GsPHhnL2dw,[],Positive
"महाराणा प्रताप कभी हारे नहीं थे,  हमें जो इतिहास पढ़ाया गया वो ग़लत था । महाराणा प्रताप आजीवन अजेय रहे 🚩",[],Positive
बाबरी मस्जिद को हथोड़े ने तोड़ा था और दोष संघ को दिया गया ।,[],Negative
"UP में अगर दोबारा योगी CM बने, तो प्रदेश छोड़कर चला जाऊंगा- मुनव्वर राना 
#UPAssemblyElection","['cm', 'upassemblyelection']",Negative
"महँगाई के ख़िलाफ़ कांग्रेस की आवाज़।

Congress against #PriceHike https://t.co/uK7yKtuikY","['pricehike', 'congress']",Negative
बचपन में २५ पैसे की एक बड़ी जलेबी आती थी। सोचते थे कि बड़े होने के बाद कमाएंगे और रोज़ तीन-चार जलेबी खाया करेंगे। अब कमाने लगे तो बीवी जलेबी खाने नहीं देती। https://t.co/W9pxYWqnVY,[],Positive
नामुराद गोली खुद ब खुद बंदूक़ से निकली और पत्रकार दानिश सिद्दीक़ी को जा लगी.. आशा है गोली को जल्द जेल होगी और दानिश सिद्दीक़ी के साथ इंसाफ़ होगा। ओम् शांति। 🙏🏽 https://t.co/7rEVS1f2ZX,[],Positive
"कुशीनगर में इंटरनेशनल एयरपोर्ट के रूप में हमारा कार्य लगभग पूरा हो चुका है।

कभी भी हम इस एयरपोर्ट को इंटरनेशनल फ्लाइट के लिए प्रारंभ कर सकते हैं।

यह संकल्पों को एक नई उड़ान देने का बेहतरीन डेस्टिनेशन प्रदान करेगा।",[],Positive
"आज जेवर एयरपोर्ट हेतु भूमि का लीज एग्रीमेंट व शेयर होल्डर एग्रीमेंट संपन्न हुआ है।

यह एयरपोर्ट आदरणीय प्रधानमंत्री जी का वर्ष-2024 तक उत्तर प्रदेश को 01 ट्रिलियन डॉलर की इकोनॉमी बनाने के लक्ष्य को आगे बढ़ाने हेतु एक बेहतरीन माध्यम है।",[],Positive
पाकिस्तान जिंदाबाद का नारा लगाने वाले राजनीतिक दल को अपना पंजीकरण पाकिस्तान चुनाव आयोग में करा लेना चाहिए..,[],Negative
"बाबर का बेटा हुमायूं, हुमायूं का बेटा अकबर, अकबर का बेटा जंहागीर, लेकिन महाराणा प्रताप के पिता का नाम हमे नही पता, सोचो हमें क्या पढाया गया और क्या छुपाया गया 😡",[],Positive
"व्यक्ति चाह कर भी किसी का भाग्य नहीं बदल सकता किंतु उसे अच्छी प्रेरणा देकर मार्ग दिखा सकता है, मौका मिले तो किसी का “सारथी” बनें “स्वार्थी” नहीं। 
जय श्री राम🙏",[],Negative
"लोकतंत्र का चीरहरण करने वाले भाजपा के गुंडे कान खोलकर सुन लें, महिलाएँ प्रधान, ब्लॉक प्रमुख, विधायक, सांसद, मुख्यमंत्री, प्रधानमंत्री बनेंगी और उनपर अत्याचार करने वालों को शह देने वाली सरकार को शिकस्त देंगी।.. 1/2 https://t.co/Z6jEMeTKks",[],Negative
"'पाकिस्तान ने नहीं युद्ध ने मारा' 
याद है !! 

आज 

'तालिबान ने नहीं गोली ने मारा'

लेकिन आतंकवाद के आरोपी #StanSwamy जिनकी Natural Death हुई अस्पताल में उन्हें मोदी - योगी ने मारा ! 

#HypocrisyKiHeights","['stanswamy', 'natural', 'death', 'hypocrisykiheights']",Negative
Rajya Sabha MP Shri Sharad Pawar met PM @narendramodi. @PawarSpeaks https://t.co/INj26CLl0k,"['rajya', 'sabha', 'mp', 'shri', 'sharad', 'pawar', 'pm', 'narendramodi', 'pawarspeaks']",Positive
"तीसरी लहर ""आ"" नहीं रही।हम उसकी तरफ़ ""जा"" रहे हैं।

काश! हम ठहर पाते। थोड़ा रुक जाते।",[],Negative
मेरे लखनऊ की सरज़मी..सब पर ईश्वर की अनुकंपा बनी रहे.. https://t.co/dJmGORMsSD,[],Positive
"इजरायल में कमजोर इम्यूनिटी वालों को लगेगी वैक्सीन की तीसरी डोज, सरकार ने दी मंजूरी",[],Positive
"सच दिखाने वाला चित्रकार आपको पसंद नहीं है, इसका मतलब आपने सरकारी गुलामी स्वीकार ली है।

दानिश सिद्दीक़ी पत्रकारिता की दुनिया का अमिट हस्ताक्षर था और उसकी तस्वीरें वर्षों तक बोलती रहेंगी, उसे 2 रु में ट्वीट करने वाले किसी सरकारी गुलाम के प्रमाण पत्र की आवश्यकता नहीं है।",[],Positive
