content,new,sentiment
"本日2021年7月19日でHikakinTV10周年。当時22歳だった僕も32歳。今もこうして沢山の皆さんに変わらず見て頂けているのはファンの皆さんに支えて頂けているからです。本当にありがとうございます。

今日この10周年の節目で、とある発表をヒカキンTVの動画でします。是非見ていただけたら幸いです。 https://t.co/vmgCDr49ct","['hikakintv', 'tv']",Positive
"『チェンソーマン』藤本タツキ最新作。

時代を抉る 新時代青春読切143P。

『ルックバック』

本日ジャンプ＋で配信開始……！

多くの人に届いて欲しいです。

RT＆コメント＆いいジャンを是非にお願いします。
以下のリンクから期間限定無料で全ページお読み頂けます。
↓
https://t.co/OHc2Kjsq9V https://t.co/ex2W2bodKW",['prt'],Positive
"藤本タツキ最新作
『ルックバック』
ジャンプ＋にて公開中！

『チェンソーマン』
第一部完結後初の大長編読切、
ぜひお楽しみください。

▼作品はこちらから
https://t.co/uYymAd6aaV https://t.co/ZSeeDtLBzr",[],Positive
似合ってる？😳 https://t.co/dXSRJpKVRM,[],Positive
商品 https://t.co/0HjbCNafYU,[],Positive
"おちゅやで💓

22日から毎日二、三本動画投稿するぜ

俺も頑張るから夏全力で楽しもうな〜 https://t.co/xcuDUR622S",[],Positive
"pubg楽しかったです
チームメイトだけでなく全ての参加者と運営に感謝!!!",['pubg'],Positive
"配信見てくれた人ありがとう
優勝したあああああああああああああああああ！！",[],Positive
"お二人で写真撮ってるところに「僕もいいですか！？」とお願いして撮っていただきました！
#スタステ #あんスタ https://t.co/eazlmRrWFY",[],Positive
"#このすば をずっと好きでいてくださって、待っていて下さってありがとうございます！！！！
この度、新作アニメ、制作決定しました！！！！👍👍👍👍 https://t.co/2Ab0acKkC6",[],Positive
"24時間リレーおつぷりでした！🐹

ついに夏が始まった！って感じがするよ(⑉• •⑉)💛

悔しい事も悲しい事も全部、夏の最後には思い出になるように全力でこの夏走り続けるよ。

未来を切り開いて行くぞぉぉぉ！🐹✨ https://t.co/HsMTvqlGu2",[],Positive
すごくかたい https://t.co/7QKakQ8ny4,[],Positive
"リレー放送おつぷりいいいい！！！！🍓✨

今回もめっちゃ楽しかったな😌✨

どんなに向かい風が吹こうと俺たちは負けない！！

この夏マジでがんばるから楽しみにしててな！！ https://t.co/4X6lVXbNfQ",[],Positive
"おつぷり🍓

楽しい24時間になったかな

夏もいっぱい頑張るから見てて
マジでがんばるよ！！！！全力だよ！！！！！！！

ちゃーんと見ててね🥺 https://t.co/CTu2pq2bte",[],Positive
コーヒーを飲もうとしたら猫がいた。 https://t.co/6UW3jPlVoC,[],Negative
トナカイの目は冬以外は金色で、極夜が続く冬になると暗闇でも見やすいよう青色になる。季節に適応し目の色を変える動物はトナカイだけ。 https://t.co/dGrcJxKUc3,[],Positive
"🎉🎉新作アニメ制作決定！🎉🎉

『この素晴らしい世界に祝福を！』新作アニメの制作が決定いたしました！
新作アニメ告知ビジュアルを公開！

続報をお楽しみにお待ちください✨

#このすば https://t.co/xpdyP1He81",[],Positive
"すとぷり公式放送おつぷり！！！✨

この夏マジですとぷりかますぞお！！

みんなついてきてくれぇ(σﾟ∀ﾟ)σ✨

そして楽しんでくれえええ！！！！ https://t.co/o1v7uV8SkT",[],Positive
"みんな、、、！！いっぱい聞いてくれて！！！！！！！ほんとうにほんとうにありがとう！！！！！！！これからも頑張っていくから見てて！！！！！！！大好きだよ！！！これからもずっと！！！
#潤羽るしあ2周年記念",[],Positive
"悔しいこととか、上手くいかないこととか、納得いかないこともたくさんあるんだけど、、、

🍓どんなことがあってもすとぷりは君との未来に向かってこれからもまっすぐに進み続けるぞおおおおおおおおおおおおおお(● ˃̶͈̀ロ˂̶͈́)੭ꠥ⁾⁾✨

リレー放送もたくさんありがとう🥺

おつぷり😘",[],Negative
"るしあ…僕のために覚えたニャン生を、他の人と歌うなんてひどいじゃないか🔪💕
”わからせ”が必要かな…💘",[],Negative
"すごく好き🥺

たくさん聞いてねん😘

【MV】シンドロームラブ／すとぷり🍓 https://t.co/0uYvyFVbsv",['mv'],Positive
