content,new,sentiment
سردار ممتاز علی بھٹو کی رحلت کی اطلاع پا کر افسردہ ہوں۔ میری دعائیں اور ہمدردیاں ان کے اہلِ خانہ کے ساتھ ہیں۔,[],Positive
"بالآخر پندرہویں صدی عیسوی کی ابتداء میں دنیا کے عظیم ترین شہر سمرقند کا دورہ ایک شاندار تجربہ رہا۔ اس دوران امیر تیمور کے مقبرے کی زیارت کی۔
 https://t.co/aIXSVdIVxr",[],Positive
"بھارتی وزیر خارجہ جئے شنکر سے ہاتھ نہیں ملایا
اشرف غنی کو سر عام اوقات یاد دلائی اور پاکستان کا دفاع کیا
بھارتی میڈیا کی تاریخی چھترول کر دی

اگر پوچھیں تو کہنا خان آیا تھا",[],Negative
"وہ بھی وقت تھا جب پاکستان کا اس وقت کے وزیراعظم نواز شریف کسی کونے میں ڈھونڈنے پڑتے تھے۔  

اللہ کا شکر ہے آج https://t.co/I45S8yJSWQ",[],Positive
دھرتی کے اس بہادر بیٹے کی شہادت پر دل بہت رنجیدہ ہے۔ اللّہ اس کے درجات بہت بلند فرمائے اور اپنی خاص رحمتوں میں رکھے۔ آمین ❤️🤲🏼 https://t.co/cnDXhxkFd1,[],Positive
"اِنّا لِلّہ وَاِنّا اِلَيْهِ رَاجِعُوْن
سابق صدرِ پاکستان ممنون حسین صاحب کے انتقال کی خبر سن کر بے حد رنج ہوا۔ وه میرے باوفا اور بہادر ساتھی تھے۔ اللہ تعالی انہیں جنت الفردوس میں جگہ عطا فرمائے اور لواحقین کو صبرِ جمیل دے۔ آمین",[],Positive
"سابق صدر پاکستان ممنون حسین صاحب کی وفات پر دِلی افسوس ہوا ہے۔ وہ ایک مخلص شخص تھے جنہوں نے پوری ایمانداری کے ساتھ پاکستان کی خدمت کی۔ 
اللہ تعالیٰ مرحوم کو جوارِ رحمت میں جگہ عطاء فرمائے۔ آمین https://t.co/Uobq8C1NhI",[],Positive
یومِ شہداء کےموقع پر ہم اہلِ کشمیر کیساتھ اور 13جولائی1931کےان 22شہداءکو سلام پیش کرتےہیں جو ڈوگرہ مہاراجہ کےسپاہیوں کیجانب سےپرامن مظاہرین پرگولیاں برسائے جانےپرمنصبِ شہادت پر فائزہوئے۔بھارتی جبر اور غیرقانونی تسلط کیخلاف کشمیریوں کی جدوجہدمزاحمت اورقربانیوں کی تاریخ سے عبارت ہے,[],Negative
یہ ہے کشمیر کا اصلی بیٹا جسے فوٹو شاپ تصویروں کی ضرورت نہیں ہے https://t.co/pKQHJjuYU7,[],Positive
"سوات کے علاقے مٹہ میں بنجر پہاڑ سبزہ اوڑھ رہے ہیں جو خیبرپختونخوا میں ہماری بلین ٹری سونامی مہم کے حیرت انگیز نتائج کی کرشماتی جھلک ہے۔ ربِ ذوالجلال کی مدد شاملِ حال رہی تو ہم ایک صاف اور سرسبز و شاداب پاکستان اپنی آئندہ نسلوں کے حوالے کریں گے، انشاءاللہ۔
 https://t.co/HpkUlA88FR",[],Positive
"میں وزیراعظم پاکستان ہوں اور ہم غزہ و فلسطین کے ساتھ کھڑے ہیں۔
#WeStandWithGaza  #WeStandWithPalestine https://t.co/0Gpb9DxjJG","['westandwithpalestine', 'westandwithgaza']",Positive
ادھر مسجد اقصی کی دیواریں فرش، فلسطینی خون سے اور ادھر، میری آنکھیں بے بسی کے آنسوؤں سے سرخ ہیں۔ عالمی ضمیر بے حسی کی چادر میں لپٹا سو رہا ہے۔ شائد مسلمانوں کا لہو اس قدر بےتوقیر ہے کہ اس پہ نہ کوئی آواز اٹھے گی اور نہ مہم چلے گی. قبلہ اول، ہم تیری تقدیس کا قرض اتارنے سے قاصر ہیں,[],Negative
ڈاکٹر یاسمین راشد کی صحت کے لیے دعا گو ہوں۔ میری والدہ نے اس موذی مرض کا سامنا کیا ہے اور میں جانتی ہوں یہ کتنی تکلیف دے بیماری ہے۔ ڈاکٹر صاحبہ بھی ماں ہیں۔ اللّہ ماؤں کو سلامت رکھے۔ آمین,[],Positive
والدین سے مسکرا کر بات کیا کریں ہم مڈل کلاس لوگ ہیں ہمارے ماں باپ کے پاس جائیدادیں نہیں زندگیاں ہوتی ہیں جو وہ ہم پر لگا دیتے ہیں-,[],Negative
"گستاخ رسول اور عاشق رسول کے درمیان الجھ کر ہم خوبصورت اور پرامن
""دین رسول"" کو بھول رہے.",[],Positive
پاکستان سمیت دنیا بھر سے میری اور خاتونِ اول کی کوروناء (COVID-19)  سے جلد شفایابی کیلئے دستِ دعا بلند کرنے اور ہمارے لئے نیک خواہشات کا تحفہ بجھوانے والوں کا میں تہہ دل سے شکرگزار ہوں۔,['covid'],Positive
