content,new,sentiment
"妹妹吉他小剧场
妹：哥！……帮我一下！
我：?
妹：帮我系带子。
我：……！！！(O∆O) https://t.co/rit84BVSpK",['oo'],Positive
看到這個梗好好笑就畫了 https://t.co/pkkABzblM4,[],Positive
给百闻牌画的俩 https://t.co/kbaEncdr5O,[],Positive
"飽和

透明水彩/色鉛筆 https://t.co/gLt9X5kC1O",[],Positive
妹妹吉他第九课 不要学大师乱来，你把握不住。 https://t.co/llDJqqPqjG,[],Positive
"[WayV-ehind] '这时烟火 (Back To You)' Recording

-URL:  https://t.co/CgZvKoxCVq 

#WayV #WeiShenV #威神V
#KUN #钱锟 #XIAOJUN #肖俊 
#Back_To_You https://t.co/BVLbqbwe6F","['wayvehind', 'back', 'weishenv', 'xiaojun', 'recording', 'url', 'wayv', 'backtoyou']",Negative
威嚇 https://t.co/oqpvgzsyDb,[],Positive
#19天  “你们的快乐与我无关” https://t.co/nXlv18icEU,[],Positive
想做挂件55 https://t.co/W7RK6601Cv,[],Positive
星极生日快乐！Happy birthday to Astesia!🌟🎂 https://t.co/00RbZByEld,"['happy', 'birthday', 'astesia']",Positive
美少女都想知道裙子哪里有卖，机智的我已经去问了妹妹。画出了示意图。不接受反驳，妹妹说的都对。 https://t.co/cOimXCU3tL,[],Negative
”老太婆来抓我啊！“ #Genshin #原神イラスト https://t.co/jS1UtDcvQo,['genshin'],Positive
妹妹今天换裙子了。 https://t.co/8s7XmHRUgh,[],Positive
"We have signed Ben Simmons to a two year contract.

我們已經與本西蒙斯簽訂了一份為期兩年的合同。","['signed', 'simmons', 'two', 'year', 'contract']",Positive
"A living emoji (1/2)

📸 發財是隻喵 https://t.co/P1QPa7Bm5r","['living', 'emoji']",Positive
"WayV-KUN&amp;XIAOJUN '这时烟火 (Back To You)' MV Reaction

-URL: https://t.co/5VSLLj1vfS 

#WayV #WeiShenV #威神V
#KUN #钱锟 #XIAOJUN #肖俊 
#WayV_KUN_XIAOJUN #Back_To_You https://t.co/0giY3JRVlw","['wayvkunampxiaojun', 'back', 'mv', 'wayv', 'weishenv', 'xiaojun', 'backtoyou', 'reaction', 'url', 'wayvkunxiaojun']",Positive
"WayV-KUN&amp;XIAOJUN '这时烟火 (Back To You)' MV🎬

-URL: https://t.co/6pVlkwUyuo 

#WayV #WeiShenV #威神V
#KUN #钱锟 #XIAOJUN #肖俊 
#WayV_KUN_XIAOJUN #Back_To_You https://t.co/GZmfBEZ9NH","['wayvkunampxiaojun', 'back', 'weishenv', 'xiaojun', 'backtoyou', 'mv', 'url', 'wayv', 'wayvkunxiaojun']",Positive
"WayV-KUN&amp;XIAOJUN '这时烟火 (Back To You)' MV Teaser🎬

#WayV #WeiShenV #威神V
#KUN #钱锟 #XIAOJUN #肖俊 
#WayV_KUN_XIAOJUN #Back_To_You https://t.co/kDFgqOPQDo","['wayvkunampxiaojun', 'back', 'mv', 'weishenv', 'xiaojun', 'backtoyou', 'teaser', 'wayv', 'wayvkunxiaojun']",Positive
触到了月亮的快乐 https://t.co/83ofbYTIh0,[],Positive
最近参与的项目，可公开的一点局部！ https://t.co/dzXUVsCFa2,[],Positive
完全一致 https://t.co/59ljR3gXuR,[],Positive
妹妹吉他第五课  对着镜子练习，可以让你在舞台上更加自信！…额…是对着镜子！ https://t.co/9I9gSbpZ8P,[],Positive
练习 https://t.co/To6G7vLKrM,[],Positive
大空警察 🚓 #プロテインザスバル https://t.co/0AdXlyI9Y1,[],Positive
"晚了一点，520快乐☺️
#クロ月 https://t.co/2RYvG0JHBs",[],Positive
