content,new,sentiment
اینترنت بخش بزرگی از خوزستان قطع شد. وقتی اینترنت را قطع می‌کنند یعنی می‌خواهند بکشند.,[],Negative
"واسه چی تو مطب به بچه اصرار می کنین که حتما به دکتر سلام کنه. نمی خواد سلام کنه. نمی خواد. آقا نمی خواااااااد. 
الان موقع بیرون رفتن ماسکشو کشید پایین به من گفت «خر»، خوب شد؟
😂",[],Negative
پنج سال زندگی در توکیو-ژاپن کم بهم نیاموخت، ولی آنچه در من کشت بیش‌تر بود. ژاپن شور زندگی را میکشد. لذت را میکشد. زیبایی را میکشد.,[],Positive
برای #خوزستان_تشنه 🖤,[],Negative
"کل تفریحامون شده یه کافه رفتن و سیگار کشیدن و حرف زدن !
اینا تفریحات بازنشستگیه نه ۲۰ سالگی!",[],Negative
"میگن استخر مختلط تو تهران وجود داره😑🧐

اخلاق کجا رفته؟
شرف کو؟
حیا کجاست؟
آدرسش کجاست؟",[],Negative
گاو هم جای مسئول و مدیر رو گرفته. https://t.co/Xzuainm4IW,[],Positive
به صدف بیوتی حسودی میکنید که تولد ابی رفته یا جایزه کن رو برده؟ من که فقط به ایشون حسودی میکنم. امروز سالگرد رفتنشه، براش یه قلب سبز بزار.💚 https://t.co/UEDHevZcxC,[],Positive
"ظاهرا یه جایی در دنیا هست که اول خط تولید رو میسازن بعد متوجه میشن ماده اولیه ندارن.
 به همین برکت قسم",[],Negative
این عکس واقعا پز دادن داره👏👏👏 https://t.co/s6lOfDkWwE,[],Positive
"عکسی که دیشب از آتیش گرفتم ودیدیم شبیه ایران ماست🙂
واقعا حق این عکس فیو استار شدنه🙂 https://t.co/doqFZiARwU",[],Positive
"حساب کردم دیدم بابت خریدش بیش از ۷۰۰ هزار خط کد تا حالا زدم
اولین ماشینم... 😍
۱۴۰۰/۰۴/۲۲ https://t.co/9MV1WHdmqw",[],Positive
"داستانهای من و دکترم ...
این قسمت : پایان https://t.co/IL3L4n9Km9",[],Positive
مدرسه که می‌رفتم دورتادور حاشیه سفید کتاب‌هام رو نقاشی می‌کشیدم. چند سال پیش این حاشیه‌ها رو برای کتاب‌ ادبیات فارسی رشته‌ی علوم انسانی بهم سفارش دادن! نقاشی‌هایی که برای خودم می‌کشیدم رفت تو کتاب‌‌های درسی بچه‌ها! https://t.co/ohBQ8ziAxp,[],Positive
"بابابزرگم ۹۴سالشه
به بچش که ۷۳ سالشه گفته صبحا با اقای احمدی نرو پارک ادم سالمی نیست.
اقای احمدی ۷۸ سالشه😂",[],Negative
این آقا امروز زیر باد و بارون این نهال رو نگه داشته بود که نشکنه https://t.co/HVhCTykbfL,[],Positive
"ری‌رای من! فردا دوم خرداد یازده ساله می‌شدی. شرورترین آدم‌های زمین شما را از من گرفتند.
دختر من بودی اما حالا دخترِ خیلی‌ها شدی. دوستت دارم. 
#دادخواهی https://t.co/5tIHsM0tk5",[],Positive
مامانم دو سه دفعه دیده پسر بچه همسایه تنهاس باهاش رفته دوچرخه سواری، امروز پسره زنگ خونمونو زده گفته خاله میای بریم با بچه ها ته کوچه فوتبال؟ =)))))))))),[],Negative
رفتیم و عقد کردیم🥳 https://t.co/FE2WVE9tit,[],Negative
ما شامپو بچه تولید کردیم که یوقت اشک شمارو نبینیم؛ اونوقت بعضیاتون میاید تو حموم گریه میکنید، نمیگید ما دق میکنیم؟ 🥺,[],Negative
خب چرا فقط گوشت و مرغ و میوه نخوریم؟ روسری و شال و مانتو هم خیلی گرونه!!!,[],Negative
"به نام خدا و توی دروازه

#FCPorto #FCPJUVE #UCL https://t.co/PTc66PdyMb","['fcpjuve', 'ucl', 'fcporto']",Positive
"سلام. دو هفته سخت گذشت اما گذشت و هنوز هستم تا باز برایتان بنویسم.

شرمنده محبت‌تان هستم که همیشه بیشتر از لیاقتم بوده.",[],Positive
خبر کوتاه بود وقدِ آفتاب بهاری قشنگ:سرطان رو شکست دادم😍,[],Positive
"مرسی که یه ترم دیگه هم باهام اومدی
طاقت بیار مَرد .... https://t.co/VKDUqAhQuf",[],Positive
"دانشجویان عزیز:""من گوه خوردم""",[],Negative
بیاین این حتی از اپل ایونت بهتره =)) #JuntosSomos,['juntossomos'],Negative
"اگه این توییت رو لایک کنید، شکل لایک عوض میشه 😃
#AppleEvent https://t.co/d6G16ykSE6",['appleevent'],Positive
#AlwaysProud میگن اگه فیو بزنین قلبه تبدیل به رنگین کمون میشه :’),['alwaysproud'],Negative
تياد چڤشن . هاڽ ڤركوڠسين https://t.co/kNo2STbgW2,[],Positive
"به عنوان وکیل پرونده عرض می کنم،هیچ اتهامی ناظر بر قتل،تجاوز،سرقت با اسلحه گرم و بمب گذاری در پرونده وجود ندارد؛ فیلم منتشره در فضای مجازی که از فروشگاهی سرقت می شود اصلا ربطی به پرونده موکلین ما  ندارد.اگر دین ندارید لااقل آزاده باشید
#امیرحسین_مرادی 
#سعید_تمجیدی 
#محمد_رجبی",[],Positive
امروز اجازه ورود به ما در پرونده #امیرحسین_مرادی و #سعید_تمجیدی و #محمد_رجبی داده شد؛ پرونده به طور کامل در اختیارمان قرار گرفت تا مطالعه کنیم؛ درخواست اولیه مبنی بر اعمال ماده ۴۷۷ را تقدیم کردیم و بعد از مطالعه کامل، لایحه دیگری خواهیم داد؛ منتظر خبر توقف اجرای حکم باشید,[],Positive
"#اعدام_نکنید ، به فکر فردای خودتون باشید...

#StopExecutionsInIran
#StopExecutionOfIranianProtesters","['stopexecutionsiniran', 'stopexecutionofiranianprotesters']",Negative
"نه می بخشیم، نه فراموش می کنیم
#اعدام_نکنید 
#StopExecutionsInIran",['stopexecutionsiniran'],Negative
ما داریم اینجا چنگ می‌زنیم به دیوار. ما اینجا داریم چنگ می‌زنیم به دیوار و می‌گوییم #اعدام_نکنید.,[],Negative
"دخترم ری را! امروز قرار بود ده ساله بشوی. متاسفم که نتوانستم از تو در برابر شرارت و جهل آدمیزاد محافظت کنم.

آخرین عکس من و ری را

#دادخواهی
#همسران 752
#fathers_of_752
#Justice752 https://t.co/ISX8F6WYHT",['fathersofjustice'],Positive
سه ماه گذشت ... https://t.co/g2YvTkEmKq,[],Negative
این روغن بنفشه‌هه نمی‌ذاره بخوابیم! https://t.co/fR9nmk1dbU,[],Positive
زینب جان تعارف نکن، میخوای ساعت ۹ مارو بذار جلو در,[],Negative
من به کار احتیاج دارم,[],Negative
مردم آمریكا جنگ با ایران نمی خواهند.,[],Negative
من پیشبینی کرده بودم دم پروازم جنگ بشه 😄 اقا خوبی بدی دیدید حلال کنید,[],Positive
"آقا ،
با ابراز تأسف عمیق از اقدامات خشونت آمیز به نام ما توسط مردی که اکثریت آمریکایی ها هرگز به آن رأی نداده اند ، من می خواهم که شما با خشونت جواب ندهید بلکه در عوض شجاعانه عمل کنید و به ما ، مردم آمریکا اجازه دهید از قدرت خودداری کنید. مردی 

خالصانه
مایکل مور
شهروند امریکایی",[],Negative
