content,new,sentiment
Pehle 5.3 overs hamara Jalwa raha. https://t.co/5swBtpOWD9,"['pehle', 'overs', 'hamara', 'jalwa', 'raha']",Negative
Dis! Padahal mah asal bisa dimengerti mah gak papa yakan? 🤷‍♀️ https://t.co/n727GLTnpj,"['dis', 'mah', 'dimengerti', 'mah', 'gak', 'papa', 'yakan']",Positive
"SEBARKAN!
Kali aja masih ada yg belum paham biar gk gampang nyungsep di jurang hoax:
1. Vaksin berisi virus/bagiannya yg dipreteli shgg kemampuan menginfeksinya dilucuti
2. So, vaksin gbs bikin org positif COVID-19
3. Oleh sebab itu, ketika vaksin disuntikkan, imun akan merespons https://t.co/AtxyYWipUU","['aja', 'yg', 'paham', 'biar', 'gk', 'gampang', 'nyungsep', 'jurang', 'vaksin', 'berisi', 'virusbagiannya', 'yg', 'dipreteli', 'shgg', 'kemampuan', 'menginfeksinya', 'vaksin', 'gbs', 'bikin', 'org', 'positif', 'vaksin', 'disuntikkan', 'imun', 'merespons', 'sebarkan', 'kali', 'hoax', 'dilucuti', 'covid']",Negative
"Mulai maghrib ini, akan masuk 9 Zulhijjah iaitu Hari Arafah. Berikut merupakan beberapa kelebihan &amp; amalan anjuran pada Hari Arafah :

1- Sekiranya 10 hari terawal Zulhijjah merupakan hari-hari paling afdal dalam dunia, hari Arafah pula merupakan hari paling afdal di sisi Allah.","['maghrib', 'masuk', 'zulhijjah', 'iaitu', 'arafah', 'kelebihan', 'amp', 'amalan', 'anjuran', 'arafah', 'terawal', 'zulhijjah', 'harihari', 'afdal', 'dunia', 'arafah', 'afdal', 'sisi', 'allah']",Positive
"Esok adalah Hari Arafah, hari yang paling baik dalam setahun. 

Berpuasalah kerana puasa pada Hari Arafah akan menghapuskan dosa setahun sebelum dan selepas,  keampunan akan diberi, dan setiap doa dimakbulkan. 

Rasulullah SAW pada Hari Arafah banyak menyebut zikir ini: https://t.co/zow3RSNM11","['esok', 'arafah', 'setahun', 'kerana', 'puasa', 'arafah', 'menghapuskan', 'dosa', 'setahun', 'selepas', 'keampunan', 'doa', 'dimakbulkan', 'saw', 'arafah', 'menyebut', 'zikir', 'berpuasalah', 'rasulullah']",Positive
"Makin dikunyah, makin pahit. Kirain apa, ternyata realitas","['dikunyah', 'pahit', 'kirain', 'realitas']",Negative
Satu-satunya vitamin D dosis tinggi yang saya butuhkan adalah DUIT,"['satusatunya', 'vitamin', 'dosis', 'butuhkan', 'duit']",Negative
YOONGI 🥺😭 https://t.co/58xJNdCI0W,['yoongi'],Positive
sumpah marshanda keren https://t.co/TNR4llZcVG,"['sumpah', 'marshanda', 'keren']",Positive
"Esok Hari Arafah.
Hari mustajab doa.
Maka, berdoalah.","['esok', 'mustajab', 'berdoalah', 'arafah', 'doa']",Positive
"Esok, puasa Hari Arafah. 

Puasa sehari, diampunkan dosa tahun sebelum dan tahun selepas ini.

Jom.","['esok', 'puasa', 'arafah', 'sehari', 'diampunkan', 'dosa', 'selepas', 'puasa', 'jom']",Positive
Sebuah plot twist https://t.co/oGWZ3YdLQO,"['plot', 'twist']",Positive
"Bapak, ebit rindu bapak sangat. Mak, ebit rindu mak. Ya Allah yang Maha Penyayang, jagakanlah mereka disana ya. https://t.co/2UDDQBEVeJ","['ebit', 'rindu', 'mak', 'ebit', 'rindu', 'mak', 'allah', 'maha', 'penyayang', 'jagakanlah', 'disana']",Positive
"Semalam aku bayar bil hospital untuk bini aku bersalin. Hospital kerajaan lah. Total aku bayar Rm375. Bila aku buka itemised bill dia, masyaallah, subsidised value almost rm5k wehhhhh.

Punya lah beruntung duduk Malaysia.","['semalam', 'bayar', 'hospital', 'bini', 'bersalin', 'hospital', 'kerajaan', 'total', 'bayar', 'rm', 'buka', 'itemised', 'bill', 'masyaallah', 'subsidised', 'value', 'almost', 'rmk', 'beruntung', 'duduk', 'malaysia', 'wehhhhh']",Negative
"Tanyarl

Cowok nginep              Cewek nginep
        seminggu                  3 hari  https://t.co/7RnNjoP4HF","['nginep', 'cewek', 'seminggu', 'tanyarl', 'cowok', 'nginep']",Positive
this seokjin… https://t.co/tDzaS5IVFI,['seokjin'],Positive
Lockdown hari ke 60. Mula hilang pertimbangan. https://t.co/B6X36Drv2H,"['lockdown', 'hilang', 'pertimbangan']",Negative
Mahal siot durian kampung dia jual rm500 sebijik. Alasan dia sebab tak jatuh tanah je. Gilo https://t.co/fdws0nYZlC,"['mahal', 'siot', 'durian', 'kampung', 'jual', 'rm', 'sebijik', 'alasan', 'jatuh', 'tanah', 'gilo']",Positive
"Hiroshima, Japan https://t.co/9FvgDiPkcM","['hiroshima', 'japan']",Positive
Giannis Antetokounmpo. 🤯 https://t.co/R0hIxxN1KV,"['giannis', 'antetokounmpo']",Positive
Coffee Shop dengan tema proyek Hambalang. https://t.co/N9tLFB8KLa,"['coffee', 'shop', 'proyek', 'hambalang']",Positive
"Lepas Maghrib ni dah masuk Hari Arafah :-) Jangan lupa puasa sunat Hari Arafah esok (9 Zulhijjah) 🤍

Sebaik baik doa adalah doa pada Hari Arafah :-)","['lepas', 'maghrib', 'dah', 'masuk', 'arafah', 'lupa', 'puasa', 'sunat', 'arafah', 'esok', 'zulhijjah', 'doa', 'doa', 'arafah']",Positive
"Face mask sampai dua, tambah dengan face shield. 

Ini kalau jadi pemimpin kita ni, boleh bangga berjalan ke mana-mana.

Ini leadership. https://t.co/aIjWuglbSN","['mask', 'shield', 'pemimpin', 'bangga', 'berjalan', 'leadership', 'manamana']",Positive
