content,new,sentiment
*KOFF KOFF* https://t.co/xCZXOErICB,"['koff', 'koff']",Positive
Brooks Koepka to @ToddLewisGC: “Love my driver.”,"['brooks', 'koepka', 'toddlewisgc', 'love', 'driver']",Positive
"joonie's vlive 

#Namjoon https://t.co/bzOTWq1BVP","['joonies', 'vlive', 'namjoon']",Positive
Donkey Kong's Blind Date https://t.co/f7mTgd1rAE,"['donkey', 'kongs', 'blind', 'date']",Positive
"Beste voetbalvrienden,

Ik heb besloten om te stoppen met mijn actieve voetbalcarrière. Een heel moeilijke keuze. Ik wil iedereen bedanken voor alle hartverwarmende steun!

Groetjes, Arjen https://t.co/aAEdxdL5tU","['beste', 'besloten', 'stoppen', 'actieve', 'voetbalcarrire', 'heel', 'moeilijke', 'keuze', 'iedereen', 'bedanken', 'hartverwarmende', 'arjen', 'voetbalvrienden', 'steun', 'groetjes']",Positive
Jsjsjsjkgorloskdoflg https://t.co/5kdGKZI5Tg,['jsjsjsjkgorloskdoflg'],Positive
"Comeback 🔜

🔴 Virgil van Dijk 💪

#UCL https://t.co/kVtYQJtoyC","['comeback', 'virgil', 'dijk', 'ucl']",Positive
"Erling Haaland is BACK in Borussia Dortmund training 😄👍

📸 @BVB https://t.co/B7H7m4IEb2","['erling', 'haaland', 'back', 'borussia', 'dortmund', 'training', 'bvb']",Positive
ginger snap https://t.co/SedoWdYxDx,"['ginger', 'snap']",Positive
🌎🌍🌏wssup https://t.co/cC80Jag31T,['wssup'],Positive
"Raiden Shogun, Baal #GenshinImpact #原神 https://t.co/wBNO4Kh2OK","['raiden', 'shogun', 'baal', 'genshinimpact']",Positive
drug https://t.co/5bc7lJMwGQ,[],Positive
xiaoven funnies https://t.co/fSexpyHDYS,"['xiaoven', 'funnies']",Positive
pink mullet pink mullet pink mu #yoongi #bts https://t.co/UykxJu4vDc,"['pink', 'mullet', 'pink', 'mullet', 'pink', 'yoongi', 'bts']",Positive
dinner date https://t.co/6nHvUpfzXO,"['dinner', 'date']",Positive
Rich hoochie! https://t.co/eeDL4bHKbl,"['rich', 'hoochie']",Positive
"Gisteren is onze grootste nachtmerrie werkelijkheid geworden. Wij als familie omringen Peter met liefde en hoop in deze moeilijke fase. Veel is nog onzeker, maar wat vaststaat is dat alle steunbetuigingen uit het hele land nu enorm veel steun bieden. De familie","['gisteren', 'onze', 'grootste', 'nachtmerrie', 'werkelijkheid', 'geworden', 'wij', 'familie', 'omringen', 'liefde', 'hoop', 'moeilijke', 'fase', 'onzeker', 'vaststaat', 'steunbetuigingen', 'hele', 'land', 'enorm', 'steun', 'bieden', 'familie']",Positive
vroom vroom ❤️‍🔥 https://t.co/o3smiBnwh1,"['vroom', 'vroom']",Positive
"SLOW DRAG, Ernie Barnes, 1997 https://t.co/1xE6aCRiJm","['slow', 'drag', 'ernie', 'barnes']",Positive
Air Jordan 1 Mid « Digital Pink » https://t.co/9B0ThSSLQl,"['air', 'jordan', 'mid', 'digital', 'pink']",Positive
Bi queen https://t.co/v61aeEzfbk,['queen'],Positive
namkook’s beauty ♡ https://t.co/Gi8YX59AaP,"['namkooks', 'beauty']",Positive
Moos🍄 https://t.co/UmAfLKY3jR,['moos'],Positive
the ruins of pompeii https://t.co/fOGKOUCQJo,"['ruins', 'pompeii']",Positive
WHAT. A. GOAL. KEVIN. DE. BRUYNE 🚀 https://t.co/UTFTmEEZcT,"['goal', 'kevin', 'bruyne']",Positive
"Update regarding Christian Eriksen.

Danish version in next tweet. https://t.co/a4Ra97xUXP","['update', 'regarding', 'christian', 'version', 'next', 'tweet', 'eriksen', 'danish']",Positive
Drugs N Hella Melodies FT @KALIUCHIS 💕 6/18 🍿 https://t.co/E51zvb6jiI,"['drugs', 'hella', 'melodies', 'ft', 'kaliuchis']",Negative
"#ENHYPEN (#엔하이픈) '2021 ENHYPEN FANMEETING [EN-CONNECT]' DVD SPOT #2
(https://t.co/WtqZfze1yX)","['enhypen', 'enhypen', 'fanmeeting', 'enconnect', 'dvd', 'spot']",Positive
"vroom, vroom https://t.co/516AZmoRui","['vroom', 'vroom']",Positive
Prayers up to Eriksen from Denmark man…..,"['prayers', 'eriksen', 'denmark']",Positive
IKDR Aileen! 😭 https://t.co/ul43gh9nc1,"['ikdr', 'aileen']",Positive
💛🧡🤎 leo tingz 🦁 https://t.co/X8xduscuyS,"['leo', 'tingz']",Positive
NCT x Geprek Bensu,"['nct', 'x', 'geprek', 'bensu']",Positive
Vintage Gucci Monogram heels. https://t.co/F0FSDgWwMN,"['vintage', 'gucci', 'monogram', 'heels']",Positive
superstar status https://t.co/4gjUkg2NBC,"['superstar', 'status']",Positive
"Gini Wijnaldum has decided to join PSG, per @FabrizioRomano https://t.co/mXCyZSlJpz","['gini', 'wijnaldum', 'decided', 'join', 'psg', 'fabrizioromano']",Positive
bestie😀 https://t.co/XL0T7B7Mke,['bestie'],Positive
Van Gogh https://t.co/K2d5RKM4Js,['gogh'],Positive
vlog out in 30 minutes! https://t.co/o3U0hJ2WfX,"['vlog', 'minutes']",Positive
ANDJSLFJSJFMSMFNSBFNDJD https://t.co/KdPpZX4Ncj,['andjslfjsjfmsmfnsbfndjd'],Positive
ben we ben https://t.co/Bf2QWmt9Zf,[],Positive
"Hange Zoe 🛐

#aot #進撃の巨人 #hange https://t.co/BzDwdOWLHq","['hange', 'zoe', 'hange', 'aot']",Positive
¿Haaland?  DE BOCA 🙌🏻💙💛💙 https://t.co/V1L6Gr1qAt,"['haaland', 'boca']",Positive
"#ENHYPEN (#엔하이픈) ‘2021 ENHYPEN FANMEETING [EN-CONNECT]’ DVD SPOT
(https://t.co/kp5Yrah25H)","['enhypen', 'enhypen', 'fanmeeting', 'enconnect', 'dvd', 'spot']",Positive
"Lazy Puppy Rock !
Amazing ... !!🐶😮

📷martijn.schrijver
                 Ig https://t.co/picLGbRJ9L","['lazy', 'puppy', 'rock', 'ig', 'amazing', 'martijnschrijver']",Positive
