content,new,sentiment
"Gostaria de pedir respeito neste ambiente, pq eu sou habilitada (AB) desde 2009. https://t.co/T9Um47bnsL","['gostaria', 'pedir', 'respeito', 'neste', 'ambiente', 'pq', 'habilitada', 'ab']",Positive
"Não, mas isso aqui 😍 https://t.co/rlQxfCWaPe",['aqui'],Positive
O ticoliro tá diferente! https://t.co/Apbh9YtbX2,"['ticoliro', 'diferente']",Positive
Eu só queria ser radical https://t.co/5tecf8sOFz,"['queria', 'ser', 'radical']",Negative
10 ano vendeno quentinha vegana 🥱 https://t.co/7nxjRoPrQ6,"['ano', 'vendeno', 'quentinha', 'vegana']",Positive
"não tem galantia, complou puque quis https://t.co/0wOxVeCWIv","['galantia', 'complou', 'puque', 'quis']",Negative
"- De volta para Brasília. 
- Obrigado pelas orações e votos de plena recuperação. https://t.co/tFbB7MpFEf","['volta', 'braslia', 'obrigado', 'oraes', 'votos', 'plena', 'recuperao']",Positive
"Parabéns Lu @luisasonza te desejo todas as melhores coisas sempre, vc sabe. E vou comemorar seu dia ouvindo DOCE 22, na vdd já estou em MULHER DO ANO XD e vc ta de parabéns pelo melhor trabalho que lançou até agora!!!! Vibre suas conquistas, tenha mt saúde, amor e prosperidade!💗","['parabns', 'lu', 'luisasonza', 'desejo', 'todas', 'melhores', 'coisas', 'sempre', 'vc', 'sabe', 'vou', 'comemorar', 'ouvindo', 'doce', 'vdd', 'mulher', 'ano', 'xd', 'vc', 'parabns', 'melhor', 'trabalho', 'lanou', 'agora', 'vibre', 'conquistas', 'mt', 'sade', 'amor', 'prosperidade']",Positive
Com o Grêmio onde onde o Grêmio estiver 👊🏼,"['grmio', 'onde', 'onde', 'grmio']",Negative
Bom dia pra você que pagou com seu dinheiro a visita do vice presidente a Angola para defender a Universal.,"['pra', 'voc', 'pagou', 'dinheiro', 'visita', 'vice', 'presidente', 'angola', 'defender', 'universal']",Positive
"“Ninguém nasce odiando o outro pela cor de sua pele, ou por sua origem, ou sua religião. Para odiar as pessoas precisam aprender, e se elas aprendem a odiar, podem ser ensinadas a amar” - Nelson Mandela

Foto: Ricardo Stuckert https://t.co/ErjME3iXfL","['ningum', 'nasce', 'odiando', 'outro', 'cor', 'pele', 'origem', 'religio', 'odiar', 'pessoas', 'precisam', 'aprender', 'aprendem', 'odiar', 'podem', 'ser', 'ensinadas', 'amar', 'nelson', 'ricardo', 'stuckert', 'mandela', 'foto']",Positive
"Guedes: ‘Por que reclamam do preço do gás se não têm dinheiro para comprar comida?’
https://t.co/SFAEoeBX3t","['guedes', 'reclamam', 'preo', 'gs', 'tm', 'dinheiro', 'comprar', 'comida']",Negative
"Angola expulsou bispos e pastores da Universal e ainda suspendeu a TV Record de lá. Mourão foi até lá, disse que isso é um problema espiritual e político e que vai voltar com uma delegação parlamentar brasileira. Tudo com $ público. Véi, quem tá governando o Brasil é Edir Macedo.","['angola', 'expulsou', 'bispos', 'pastores', 'universal', 'ainda', 'suspendeu', 'tv', 'record', 'mouro', 'problema', 'espiritual', 'poltico', 'voltar', 'delegao', 'parlamentar', 'brasileira', 'tudo', 'pblico', 'governando', 'brasil', 'macedo']",Negative
"Bom dia, bom domingo! https://t.co/j7iYJRDqK5",['domingo'],Positive
"hoje mitei muito aqui no hotel

- ensinei dois hermanos a jogar poker

- ensinei ERRADO de propósito

- ganhei deles por causa das regras que eu inventei 

- faturei dinheiro dos Argentinos otários

Essa foi pela copa América, aqui é Brasil caralho 🇧🇷🇧🇷🇧🇷🇧🇷","['hoje', 'mitei', 'aqui', 'ensinei', 'dois', 'hermanos', 'jogar', 'ensinei', 'errado', 'ganhei', 'causa', 'regras', 'inventei', 'faturei', 'dinheiro', 'argentinos', 'copa', 'amrica', 'aqui', 'brasil', 'caralho', 'poker', 'propsito', 'otrios']",Negative
penhasco. https://t.co/PSVZZ7d5Wl,['penhasco'],Positive
"Vcs têm noção que o Brasil elegeu para presidente um homem que defendia abertamente a legalização das milícias?

Sei lá, às vezes paro e fico pensando.","['vcs', 'tm', 'noo', 'brasil', 'elegeu', 'presidente', 'homem', 'defendia', 'abertamente', 'legalizao', 'vezes', 'paro', 'fico', 'pensando', 'milcias']",Negative
"Repararam que não se fala mais nada nadinha mesmo, nenhuma palavra sobre Ricardo Salles ? Porque será que ele submergiu assim fantasticamente?","['repararam', 'fala', 'nadinha', 'nenhuma', 'palavra', 'ricardo', 'salles', 'ser', 'submergiu', 'assim', 'fantasticamente']",Negative
"Tava olhando o álbum #DOCE22 

A Luísa Sonza ela https://t.co/58HpSav3pO","['tava', 'olhando', 'lbum', 'doce', 'lusa', 'sonza']",Positive
nossa eu gritrei https://t.co/5ZtAXVhPZ0,['gritrei'],Negative
meu deus ela fugiu com a música,"['deus', 'fugiu', 'msica']",Negative
quero muito que vcs escutem o álbum quando sair na ordem de cada faixa :),"['quero', 'vcs', 'escutem', 'lbum', 'sair', 'ordem', 'cada', 'faixa']",Positive
