content,new,sentiment
Shohei Ohtani is an actual king. https://t.co/04F3OzW6FU,"['shohei', 'ohtani', 'actual', 'king']",Positive
Giulia from Luca is lesbian https://t.co/DoUG99BNSl,"['giulia', 'luca', 'lesbian']",Positive
"« Le vrai PSG »

La story Insta de Zlatan Ibrahimovic. https://t.co/08ukl4AqiL","['vrai', 'story', 'insta', 'zlatan', 'ibrahimovic', 'psg']",Positive
"#PortfolioDay 
I'm Yuuri, Japanese concept artist. https://t.co/W5ZsPiqCbs","['portfolioday', 'yuuri', 'japanese', 'concept', 'artist']",Positive
Los de Sinopharm y Sputnik/Los de AstraZeneca https://t.co/rQhDNcLhOD,"['sinopharm', 'sputniklos', 'astrazeneca']",Positive
"✅ Georginio Wijnaldum
✅ Sergio Ramos
✅ Achraf Hakimi 
✅ Gianluigi Donnarumma

Le mercato du PSG est très sale. 🥵🔥 https://t.co/oqS5BXVQnb","['georginio', 'sergio', 'achraf', 'hakimi', 'gianluigi', 'mercato', 'psg', 'trs', 'wijnaldum', 'ramos', 'donnarumma']",Positive
90's anime aesthetic https://t.co/z1f4zI1Mgp,"['anime', 'aesthetic']",Positive
Anti-racism demonstrators at Marcus Rashford's mural in Manchester 💪 https://t.co/DImc4pG0Ei,"['antiracism', 'demonstrators', 'marcus', 'rashfords', 'mural', 'manchester']",Positive
"My ""Yuuko in Denial"" scene for #NichijouReanimated! @NichijouCollab https://t.co/LJowJ8NUvd","['yuuko', 'denial', 'scene', 'nichijoureanimated', 'nichijoucollab']",Positive
Doctolib C’est devenu SNKRS genre ?,"['doctolib', 'cest', 'devenu', 'snkrs', 'genre']",Negative
@ParissAthena Alternate timeline  https://t.co/g1AuylIqxv,"['parissathena', 'alternate', 'timeline']",Positive
"Elephant Rock, Islândia https://t.co/YiNKWs7xOL","['elephant', 'rock', 'islndia']",Positive
"are you a ""jin"" or a ""seokjin"" person?","['jin', 'seokjin', 'person']",Positive
ARGENTINA ARE 2021 COPA AMERICA CHAMPIONS 🏆 @brfootball https://t.co/pgcHXB3V6L,"['argentina', 'copa', 'america', 'champions', 'brfootball']",Positive
Shiranui Flare🌊 https://t.co/pzFXhwvmT7,"['shiranui', 'flare']",Positive
Sade Adu at 25              Sade Adu at 40 https://t.co/UqO0PKIJfP,"['sade', 'adu', 'sade', 'adu']",Positive
"@historicadenise @Afrotoxicboy ...ele odnezart ohniugima od siap so moc oãoJ atlov aroga meb siop,seõigiler sartuo recehnoc etnasseretni ohca siam,oriebmucam odut é etneg a,iexied ue ajergi an ri ele arp uidep ohniugima o orietni aid o uocnirb,zev ariemirp alep ogima od adac an rimrod iof ohlif ueM","['historicadenise', 'afrotoxicboy', 'odnezart', 'ohniugima', 'moc', 'ooj', 'atlov', 'aroga', 'meb', 'siopseigiler', 'sartuo', 'recehnoc', 'etnasseretni', 'ohca', 'siamoriebmucam', 'odut', 'etneg', 'aiexied', 'ue', 'ajergi', 'ri', 'arp', 'uidep', 'ohniugima', 'orietni', 'aid', 'uocnirbzev', 'ariemirp', 'alep', 'ogima', 'adac', 'rimrod', 'iof', 'ohlif', 'uem']",Negative
in public                    in private https://t.co/65Gnu4Omw9,"['public', 'private']",Positive
handcuffs concept? seokjin's impact. https://t.co/Byr2yEVo7T,"['handcuffs', 'concept', 'seokjins', 'impact']",Positive
"BAEKHYUN: Special Merchandise Teaser

https://t.co/zuJXyaLzS0

#백현 #BAEKHYUN #엑소 #EXO","['baekhyun', 'special', 'merchandise', 'baekhyun', 'exo', 'teaser']",Positive
"Concept Photo - ""YeoJin""

LOOПΔ 4th Mini Album [&amp;]
2021.6.28 pm6 (KST) Release

#이달의소녀 #여진 #LOONA #YeoJin #AND

LOOΠΔ
https://t.co/5CfbXI886V https://t.co/Qf6BTYp3PN","['concept', 'photo', 'th', 'mini', 'album', 'pm', 'kst', 'loona', 'yeojin', 'yeojin', 'loo', 'amp', 'release', 'loo']",Positive
O artista /// a arte https://t.co/FZcotNaGAs https://t.co/ijUS9No1pX,"['artista', 'arte']",Positive
in color https://t.co/I6xPezUp6U,['color'],Positive
"[#What_is_your_choice]

""escape"" or ""limit""

#Ready_to_love
#SEVENTEEN #세븐틴","['whatisyourchoice', 'escape', 'limit', 'readytolove', 'seventeen']",Positive
"2020                                     2021
daechwita                       daechwita https://t.co/Gmi9Dfck0P","['daechwita', 'daechwita']",Positive
xylitol commercial!! @BTS_twt https://t.co/uv4MADREzB,"['xylitol', 'commercial', 'btstwt']",Negative
TYPE SHIT ..CULTUREIII 💗💙 https://t.co/Gp9J4qOGAt,"['type', 'shit', 'cultureiii']",Negative
"No era tan dificil Foyth.
Carpintero Masterclass. https://t.co/mOLNmwGlaI","['tan', 'dificil', 'masterclass', 'foyth', 'carpintero']",Positive
