content,new,sentiment
INTERlude :( https://t.co/CeE4mGGHSe,['interlude'],Positive
honor #jujutsukaisen https://t.co/Dmbfc2jmcP,"['honor', 'jujutsukaisen']",Negative
"“Mummy, I forgot my baju PJ.” https://t.co/yfoBj1rFqf","['mummy', 'forgot', 'baju', 'pj']",Negative
Johan. https://t.co/CYn4HvRiDP,['johan'],Positive
Donnarumma under Nasser Al-Khelaifi https://t.co/e4aJbgblmT,"['donnarumma', 'nasser', 'alkhelaifi']",Positive
"måneskin, or as i like to call them, horny abba","['mneskin', 'like', 'call', 'horny', 'abba']",Negative
vmin double kill https://t.co/FM4p6NmsGq,"['vmin', 'double', 'kill']",Positive
Trumpism = Fascism,"['trumpism', 'fascism']",Negative
"TikTok, Twitter, Instagram, Facebook https://t.co/3SjPrAFdZT","['tiktok', 'twitter', 'instagram', 'facebook']",Positive
OMFGGFGG????? HELP 😭😭😭😭 https://t.co/PqTUbgSHhm,"['omfggfgg', 'help']",Negative
Sandra Bland 🖤 https://t.co/ATv0skL3Ah,"['sandra', 'bland']",Positive
fashionista jung hoseok https://t.co/jULiUDimaM,"['fashionista', 'jung', 'hoseok']",Positive
Red flag? Que diga red flag. https://t.co/LrgOH3To9I,"['red', 'flag', 'diga', 'red', 'flag']",Negative
"Jorgi. 👏

#Euro2020 #ITA https://t.co/7SF2wW3P8w","['jorgi', 'ita', 'euro']",Positive
Jag är Zlatan Bio premiär 10 september https://t.co/2borLMMRuQ,"['r', 'zlatan', 'bio', 'premir', 'september']",Positive
Wanna play gag the fåg with me ? 🥺👉🏼👈🏼 https://t.co/7lH2PpYXLv,"['wan', 'play', 'gag', 'fg']",Positive
"Mesut Özil 🤩

#FridayFeeling https://t.co/eaXJYLgaAh","['mesut', 'zil', 'fridayfeeling']",Positive
"Puhon ""In God's time"" https://t.co/BIRKyTMSls","['puhon', 'gods', 'time']",Positive
Big Ligas https://t.co/6KLepSQsnZ,"['big', 'ligas']",Positive
"Nobody:

My FYP on tiktok: https://t.co/RGNrmgUhNg","['fyp', 'tiktok', 'nobody']",Negative
Hasbulla vs Monkey https://t.co/2qURzUoUia,"['hasbulla', 'vs', 'monkey']",Negative
"2021 SVT 5TH FAN MEETING &lt;SEVENTEEN IN CARAT LAND&gt;
▶ https://t.co/rTdQIE0P8I

#세븐틴 #SEVENTEEN
#SVTinCARATLAND https://t.co/WBnC3pBWkc","['svt', 'th', 'fan', 'meeting', 'ltseventeen', 'carat', 'landgt', 'seventeen', 'svtincaratland']",Positive
harika ya harika aksdjs https://t.co/EDP1rSyg23,"['harika', 'harika', 'aksdjs']",Positive
VAMPIRELLA 🧛🏻‍♀️🩸🔪 IG: SNITCHERY https://t.co/aPCEFFXTZ8,"['vampirella', 'ig', 'snitchery']",Positive
TIK… TOK MOTHAFUCKA,"['tik', 'tok', 'mothafucka']",Positive
my fyp on TikTok😩 https://t.co/ogEnTzHOYy,"['fyp', 'tiktok']",Positive
Jack Dawson                     Jung Hoseok https://t.co/L7FMA5BDG8,"['jack', 'dawson', 'jung', 'hoseok']",Positive
steppas https://t.co/i8ru0P8zCs,['steppas'],Positive
Ta helao' https://t.co/zPqaF7CHrg,['helao'],Positive
"Jorgi. 🏅

#ChelseaChampions https://t.co/16SCI1hY2I","['jorgi', 'chelseachampions']",Positive
Kante ❤️ https://t.co/FydDKOQaDw,['kante'],Positive
"JAHAJSJSUAJDHAOSH??,,,? ??!? https://t.co/schFZ2CZeo",['jahajsjsuajdhaosh'],Negative
SNAKAJSKAKAKSM https://t.co/wOoNUJtGCK,['snakajskakaksm'],Positive
Rita and kyler https://t.co/w4bxvpzmAv,"['rita', 'kyler']",Positive
Besiktas: Champions of Turkey 𝕓𝕪 𝕥𝕙𝕖 𝕓𝕒𝕣𝕖𝕤𝕥 𝕠𝕗 𝕞𝕒𝕣𝕘𝕚𝕟𝕤🏆 https://t.co/YbeHtwmu4s,"['besiktas', 'champions', 'turkey']",Positive
VSF KKKKKKKKKKKKKKKKKKKKKKKKJK https://t.co/TSJolNBRsW,"['vsf', 'kkkkkkkkkkkkkkkkkkkkkkkkjk']",Positive
ELVEDA TFF 1.LİG⚡️ https://t.co/otr7YiHDLn,"['elveda', 'tff', 'lg']",Positive
let OJ host snl,"['let', 'oj', 'host', 'snl']",Negative
Jordan 4 &gt;&gt;&gt;&gt;&gt;&gt;&gt; https://t.co/j2dtcublRr,"['jordan', 'gtgtgtgtgtgtgt']",Positive
kangen motret malem😔 https://t.co/yYPARN49vb,"['kangen', 'motret', 'malem']",Positive
Jordan 😂 https://t.co/Woz9EfmCas,['jordan'],Positive
fashion tiktok https://t.co/qGm63LROUE,"['fashion', 'tiktok']",Positive
Rihanna at 18                 Rihanna at 31 https://t.co/yAsk0cua2O,"['rihanna', 'rihanna']",Negative
goddammit https://t.co/GPa6DmQIRq,['goddammit'],Negative
Emmett Louis Till (1941-1955): https://t.co/LY8M8RJCFW,"['emmett', 'louis']",Positive
This Tweet from @eddiesaidthat has been withheld in response to a report from the copyright holder. Learn more.,"['tweet', 'eddiesaidthat', 'withheld', 'response', 'report', 'copyright', 'holder', 'learn']",Negative
Cosplaying as my 70s doppelgänger. https://t.co/p5aWEm2NeF,"['cosplaying', 'doppelgnger']",Positive
ALESSANDRAAAAA https://t.co/ZzrY41kp2E,['alessandraaaaa'],Positive
"Vampire Barbara 🥀
#GenshinImapct #原神 https://t.co/tW94GtPQZt","['vampire', 'barbara', 'genshinimapct']",Positive
Brunna https://t.co/pZkoG7Thyt,['brunna'],Positive
📸 Mesut Özil 💪 https://t.co/MHDAvPgMaH,"['mesut', 'zil']",Positive
