content,new,sentiment
คนเกลียดเยอะขนาดนี้มึงนอนหลับได้ไงวะ,[],Negative
คนที่ออกมาต่อสู้เพื่อเรียกร้องสิ่งที่ดีขึ้น เค้าไม่ได้ชังชาติ เค้าชังระบบชั่วๆที่ฝังรากอยู่ในชาติ https://t.co/9KoRyeSnmz,[],Positive
สปีชแบบเรียบง่าย แต่แฝงไปด้วยความเจ็บช้ำ ที่คนมีเสียงคนนึงจะส่งออกมาให้สะเทือนไปทั้งโลก #เจ้ยอภิชาติพงศ์ https://t.co/wxG7qgquvO,[],Negative
"กุเกลียดคำว่า""เด็กสมัยนี้"" เออแล้วมันทำไม อิผู้ใหญ่สมัยก่อน",[],Negative
ขอบคุณแฟนๆทุกคนนะครับ💚 https://t.co/ctIt2uaRCB,[],Positive
อิดอก ถ้ามีคลิปนี้ตั้งแต่ป.4 ป่านนี้กุเหรียญทองเคมีโอลิมปิกแล้ว https://t.co/L6Kq5pFJEz,[],Positive
"เราขอสำรวจประชากรหน่อยนะทุกคน 
ขอ *ความจริง* นะอยากรู้ยอด

ฉีดวัคซีนแล้วอย่างน้อย 1 เข็ม รีทวิต 🔁
ยังไม่ได้ฉีดซักเข็ม กดหัวใจ ❤️",[],Negative
omgg ห้องยูนาบีในเรื่อง Nevertheless สวยมากก composition ดีมาก ความประเทศที่เห็นงาน art สำคัญอะเนาะ เห็นแล้วอยากแต่งตามเลย 🥣､｡🍶🛋 นี่ชอบมากจนไปหาเฟอร์  ตาม เป็นของ IKEA เยอะเลย มาาาาๆ รวมเธรดให้เลยจะได้ไปหากันง่ายๆ อยู่แต่บ้านเบื่อๆ ก็แต่งห้องกันไปก่อนนนละกันเนาะเรา 〜🧽🧴 https://t.co/895VHRIjRd,"['omgg', 'nevertheless', 'composition', 'art', 'ikea']",Positive
"พื้นที่ปลอดภัยของเขื่อน 💞
#ความลับกามิ 🥰💝 https://t.co/ymr0HYKeAF",[],Positive
เดินทางมาถึง3ล้านแล้วววววว ขอบคุณทุกคนมากๆเลยนะครับ รักนะครับทุกคน หวังว่าจะได้เจอกันเร็วๆนะครับ ดูแลสุขภาพด้วย อยู่ด้วยกันไปนานๆนะครับ 💜💙💚💛🧡❤️💖 #3MewlionsLove,['mewlionslove'],Positive
เธรดนี้เรามารวมของแต่งห้องในห้องเรางับบบ ใครชอบโทนขาวๆคลีนๆ เตรียมแฟบได้เลยย💕 https://t.co/8A6kPH8v4Q,[],Positive
"ตีกับเพื่อนมา
ไข่นกกระทา รี                 ไข่นกกระทา เฟบ https://t.co/Bz3ZCazOZB",[],Positive
เธรดรวมฟ้อนต์ที่เราชอบใช้คับ ! ( มีลิ้งค์ ) 🧠👕🧞🧽。 https://t.co/1dgvRPSHYU,[],Positive
วันก่อนสั่งนม dairy home🥛🦷🪥เพิ่งรู้ว่ามีนมอัดเม็ดด้วย!!! ละชื่อproductคือ ฟ.ฟัน เพราะนางเป็นนมอัดเม็ดป้องกันฟันผุ ไม่มีน้ำตาล แล้วเป็นรูปน้อนฟันขยิบตา อะชั้นกดสั่งละ1 55555555555 น่ารักมาก รสชาติแบบนมแดรี่โฮมเลย หวานน้อย อร่อยมาก ขวดนึง 120 บาท มี 120 เม็ด https://t.co/9uZLbjWiLq,"['dairy', 'home', 'product']",Positive
แม่กูชอบมากกกกก นี่ซื้อมาเพราะเวลากินอาหารเหลือแล้ววางจนไม่เหลือพื้นที่วางอย่างอื่นอะ มีอีนี่คือจบ ประหยัดเนื้อที่มาก มดและแมลงไม่เข้าอีกเลย 5555555555555 https://t.co/ZXB8QWTiCZ,[],Positive
ขอเสียงชาวเคเอฟซีด้อมไก่เกาหลีเบอร์1 หน่อยคับ!! วันนี้แฟนด้อมอย่าลืมมาเจอกันในไลฟ์เปิดด้อมไก่เกากัน วินตื่นเต้นมากๆ เจอกันที่ FB KFC TH/GMMTV เวลา 17.00 น. มารอเจอกันเยอะๆน้า วินรออยู่นะครับบ #KFCKoreanxfandom https://t.co/MQOWpm1HgM,"['fb', 'kfc', 'thgmmtv', 'kfckoreanxfandom']",Positive
: เนี่ย https://t.co/gZrgM4ombx,[],Positive
เง้อ อันนี้น่ารัก น้องหมาเขาขึ้นสวรรค์ไปละ แล้วเขาก็ท้อง ลูกเกิดมามีปานที่เดียวกับหมาเลย กลับมาเป็นลูกของปะป๊าหม่าม้าแน่เลย แงแง https://t.co/lhQYlKioJh,[],Positive
