content,new,sentiment
Lan o kadar dunya dönüyo gunes dönüyo gezegenler dönüyo hic mi esmez ruzgar yapmaz aq bosa dönüyo hepsi,"['lan', 'dunya', 'dnyo', 'gunes', 'dnyo', 'gezegenler', 'dnyo', 'hic', 'esmez', 'ruzgar', 'yapmaz', 'aq', 'bosa', 'dnyo']",Positive
"Dünyaya sesleniyorum: Beni Erdoğan’la karıştırmayın. Kuvayi Milliye geleneğinden geliyorum. Kimse kaçtığı yere askerimi bekçi; ülkemi de mültecilere açık hapishane yapamaz! Ben haram yemedim. Geliyoruz ve şimdiden söyleyeyim, çok çetin müzakereler sizi bekliyor. Yok öyle!","['dnyaya', 'sesleniyorum', 'beni', 'erdoanla', 'kartrmayn', 'kuvayi', 'milliye', 'geleneinden', 'geliyorum', 'kimse', 'kat', 'yere', 'askerimi', 'beki', 'lkemi', 'mltecilere', 'ak', 'hapishane', 'yapamaz', 'haram', 'yemedim', 'geliyoruz', 'imdiden', 'syleyeyim', 'ok', 'etin', 'mzakereler', 'sizi', 'bekliyor', 'yok', 'yle']",Negative
"Bayram tatilinde Bodrum'a, Alaçatı'ya, Bozcaada'ya, Kaş'a vs. gidip kalabalıktan şikayet etmek nasıl bir geri zekalılıktır anlayan var mı?","['bayram', 'tatilinde', 'bodruma', 'alaatya', 'bozcaadaya', 'kaa', 'vs', 'gidip', 'kalabalktan', 'ikayet', 'etmek', 'nasl', 'geri', 'zekallktr', 'anlayan']",Positive
"15 yaşında çocuk memleket konuşuyor, öflüyor pöflüyor dertleniyor. Onların sivilcelerini, sevgililerini, müzik gruplarını, üstlerini başlarını dert etmeleri gereken dönemi, ergenliklerini de yediniz be abi.","['yanda', 'ocuk', 'memleket', 'konuuyor', 'flyor', 'pflyor', 'dertleniyor', 'onlarn', 'sivilcelerini', 'sevgililerini', 'mzik', 'gruplarn', 'stlerini', 'balarn', 'dert', 'etmeleri', 'gereken', 'dnemi', 'ergenliklerini', 'yediniz', 'abi']",Negative
Mesut Özil’in balmumu heykeli Türkiye’ye geldi👇,"['mesut', 'zilin', 'balmumu', 'heykeli', 'trkiyeye', 'geldi']",Positive
"Tamamı ülkemizde üretilen parçalarla Gebze'de montajı yapılan ilk gövdemiz.

Bizi izlemeye devam edin 😉 https://t.co/hbLdit1htO","['tamam', 'lkemizde', 'retilen', 'paralarla', 'gebzede', 'montaj', 'yaplan', 'izlemeye', 'devam', 'edin', 'gvdemiz', 'bizi']",Positive
"Kilis’te çocuğunun tıraşını beğenmeyen bir baba, berberi öldürdü.","['kiliste', 'ocuunun', 'tran', 'beenmeyen', 'baba', 'berberi', 'ldrd']",Negative
"Nasıl parti güzel miydi? 
Yazık çok yazık..
#Bozcaada https://t.co/SjBTlG39Ym","['nasl', 'parti', 'gzel', 'miydi', 'ok', 'yazk', 'yazk', 'bozcaada']",Positive
"Tabii bana şov yapıyorsun diye tweet atmaya devam edebilirsiniz trol dayılar. Ama bi gün karşıma çıkıp, aynı duyarı yüzüme kasarsanız ağzınızı burnunuzu elinize veririm haberiniz olsun. https://t.co/snwjnssZXS","['tabii', 'bana', 'ov', 'yapyorsun', 'tweet', 'atmaya', 'devam', 'edebilirsiniz', 'trol', 'daylar', 'gn', 'karma', 'kp', 'ayn', 'duyar', 'yzme', 'kasarsanz', 'aznz', 'burnunuzu', 'elinize', 'veririm', 'haberiniz']",Positive
"🏆 5 x Süper Lig Şampiyonluğu 

🏆 4 x Türkiye Kupası Şampiyonluğu

🏆 5 x TFF Süper Kupa Şampiyonluğu

📆 18 Temmuz 2020 | Futbol A Takımı kaptanı olarak Galatasaray tarihine altın harflerle kazınan başarılara imza atan Selçuk İnan, Göztepe maçının ardından futbolu bıraktı. https://t.co/9kkwQrYY9W","['x', 'sper', 'lig', 'ampiyonluu', 'x', 'trkiye', 'kupas', 'x', 'tff', 'sper', 'kupa', 'temmuz', 'futbol', 'takm', 'kaptan', 'olarak', 'galatasaray', 'tarihine', 'altn', 'harflerle', 'kaznan', 'baarlara', 'imza', 'atan', 'seluk', 'nan', 'gztepe', 'mann', 'ardndan', 'futbolu', 'brakt', 'ampiyonluu', 'ampiyonluu']",Positive
Günün antrenmanı ✅ https://t.co/uMHqnlQ9P8,"['gnn', 'antrenman']",Positive
Yeni sezon hazırlıkları devam ediyor. 🦅 https://t.co/dvCblrDbV8,"['yeni', 'sezon', 'hazrlklar', 'devam', 'ediyor']",Positive
"Kamuoyuna Duyuru

🔗 https://t.co/I640pZDthk https://t.co/rlhnb33okk","['kamuoyuna', 'duyuru']",Positive
tanyarl h e e m m😐 https://t.co/I5uIhs5LRb,['tanyarl'],Positive
"Galatasaray SK Başkanı Burak Elmas, 19 Temmuz Pazartesi günü 17.00 - 17.45 saatleri arasında görevdeki ilk 1 ayını değerlendirecek. TT Stadyumu'nda gerçekleştirilecek bu basın toplantısını @GSTV, https://t.co/CcRxUlqT0E ve YouTube kanalımızdan canlı yayınla izleyebilirsiniz. https://t.co/HkK1GHZKvp","['galatasaray', 'sk', 'bakan', 'burak', 'elmas', 'temmuz', 'pazartesi', 'gn', 'saatleri', 'arasnda', 'grevdeki', 'ayn', 'deerlendirecek', 'tt', 'stadyumunda', 'gerekletirilecek', 'basn', 'toplantsn', 'gstv', 'youtube', 'kanalmzdan', 'canl', 'yaynla', 'izleyebilirsiniz']",Positive
76 milyon liraya yapılan Balıkesir Merkez Havalimanı’na 18 aydır tek bir uçağın dahi inmediği anlaşılalı birkaç saat oldu,"['milyon', 'liraya', 'yaplan', 'balkesir', 'merkez', 'havalimanna', 'aydr', 'tek', 'uan', 'dahi', 'inmedii', 'anlalal', 'birka']",Positive
Vay be su sofrası…çok iyi https://t.co/yqizP6KDYe,"['vay', 'sofrasok', 'iyi']",Positive
"Metallica grubunun, Rihanna'nın 'Diamonds' şarkısını söylediği o harika anlar.. https://t.co/W68L3L1Dui","['metallica', 'grubunun', 'rihannann', 'diamonds', 'arksn', 'syledii', 'harika', 'anlar']",Positive
bayramlık sorulara önceden çalıştık https://t.co/r8B2kKISBh,"['bayramlk', 'sorulara', 'nceden', 'altk']",Positive
Günaydın #Galatasaray Ailesi https://t.co/wQzNBi1mHu,"['gnaydn', 'galatasaray', 'ailesi']",Positive
"Apartmanında oturan ünv.öğrencisinin evine gelen giden belli değil diye şikâyet edip atmaya çalışanlar ülkeye giren çıkan belli değil ne rahatsız oluyor ne sesleri çıkıyor.
Apartman Vatandan daha mı değerli namus bekçileri..??","['apartmannda', 'oturan', 'nvrencisinin', 'evine', 'gelen', 'giden', 'belli', 'deil', 'ikyet', 'edip', 'atmaya', 'alanlar', 'lkeye', 'giren', 'belli', 'deil', 'rahatsz', 'oluyor', 'sesleri', 'vatandan', 'deerli', 'namus', 'bekileri', 'kyor', 'apartman']",Negative
"Bu mudur ? 
#suriyeliler 
Sayıları kaç Milyon ?
hadi geçmiş olsun.

Bu Bela herkesin kapısını çalana kadar görmezlikten, duymazlıktan gelmeye devam 👍🏽 https://t.co/oBEZdu3SrB","['mudur', 'saylar', 'ka', 'milyon', 'gemi', 'bela', 'herkesin', 'kapsn', 'alana', 'grmezlikten', 'duymazlktan', 'gelmeye', 'devam', 'suriyeliler', 'hadi']",Negative
Öldüğümü kanıtlayamam ama yaşadığım söylenemez,"['ldm', 'kantlayamam', 'yaadm', 'sylenemez']",Negative
Gelmekte olanın gelmesi için gitmekte olan gidiyor.,"['gelmekte', 'olann', 'gelmesi', 'iin', 'gitmekte', 'gidiyor']",Positive
"Suriyeli göçmenler bile ülkelerine bayram tatiline gidebilirken bizim gençlerimiz memleketlerine gidecek parayı bulamıyor.

Bayramlarda gençlerimize seyahat desteği sağlamalıyız.","['suriyeli', 'gmenler', 'lkelerine', 'bayram', 'tatiline', 'gidebilirken', 'genlerimiz', 'memleketlerine', 'gidecek', 'paray', 'genlerimize', 'seyahat', 'destei', 'salamalyz', 'bulamyor', 'bayramlarda']",Positive
"2 saat önce oturduğum masadaki dostları şarkı söyleye söyleye 325 bin’lik yaptım .

Az önceki twitlerde gördüğünüz gibi 3 twitte 75 bin TL 
Bugüne kadar görev aldığımız SMA lı çocuklar için ise toplam 250 bin TL .

Beni masasına davet edecekler iyi düşünsün 😁😁😁","['nce', 'oturduum', 'masadaki', 'dostlar', 'ark', 'syleye', 'syleye', 'binlik', 'yaptm', 'nceki', 'twitlerde', 'grdnz', 'twitte', 'tl', 'grev', 'aldmz', 'sma', 'ocuklar', 'iin', 'toplam', 'tl', 'masasna', 'davet', 'edecekler', 'iyi', 'dnsn', 'bugne', 'beni']",Negative
ne zaman düzelicez mezara girince mi,"['dzelicez', 'mezara', 'girince']",Positive
Bu kacak multecilerin kafasini da anlamiyorum aq madem bi yere kacak giriceksin git isvece falan gir trde napiyon ya,"['kacak', 'multecilerin', 'kafasini', 'anlamiyorum', 'aq', 'madem', 'yere', 'kacak', 'giriceksin', 'git', 'isvece', 'falan', 'gir', 'trde', 'napiyon']",Negative
"Dün Komagene'ye gitmiştim dedim ki abi marul koyma ama adam koymuştu sonra bugün yine gittim ve dedim ki abi marul Komagene

(beş gündür düşündüğüm şakam)","['dn', 'komageneye', 'gitmitim', 'dedim', 'abi', 'marul', 'koyma', 'adam', 'koymutu', 'bugn', 'yine', 'gittim', 'dedim', 'abi', 'marul', 'gndr', 'dndm', 'akam', 'komagene']",Negative
"Zorlama yok seviyorsan kalp bırak ❤️ ❤️
#BaskanErdogan https://t.co/di4VObESRp","['zorlama', 'yok', 'seviyorsan', 'kalp', 'brak', 'baskanerdogan']",Positive
Az önce :) konuştuğum çocuk :) başka kıza :) atacağı mesajı :) yanlışlıkla :) bana attı :))))))))))),"['nce', 'konutuum', 'ocuk', 'baka', 'kza', 'ataca', 'mesaj', 'yanllkla', 'bana']",Negative
"Sevgili Arkadaşlar:

Ülkemiz için en ciddi olaylardan biri SU. Lütfen çok dikkatli olalım. Biz bilinç altımıza yazıldığı gibi Su zengini ülke değiliz. Su elmastan değerli. 

Ülkesini seven Su ve Enerji tüketimine dikkat etsin. Cari açığımızı kapatmak açısından da önemli.","['sevgili', 'iin', 'ciddi', 'olaylardan', 'ltfen', 'ok', 'dikkatli', 'olalm', 'bilin', 'altmza', 'yazld', 'zengini', 'lke', 'deiliz', 'elmastan', 'deerli', 'seven', 'enerji', 'tketimine', 'dikkat', 'etsin', 'cari', 'amz', 'kapatmak', 'asndan', 'nemli', 'arkadalar', 'lkemiz', 'lkesini']",Positive
"Hepimizin tedbirli olması gerekiyor.

Biliyorum ki herkes çocuklarımızın geleceğine önem veriyor. Bu bilinçle, evlatlarımızın daha güzel yarınlarda yaşaması için suyumuzu tasarruflu kullanalım. 

Çünkü su dündür, bugündür, gelecektir. 😊","['hepimizin', 'tedbirli', 'olmas', 'herkes', 'ocuklarmzn', 'geleceine', 'veriyor', 'bilinle', 'evlatlarmzn', 'gzel', 'yarnlarda', 'yaamas', 'iin', 'suyumuzu', 'tasarruflu', 'kullanalm', 'dndr', 'bugndr', 'gelecektir', 'gerekiyor', 'biliyorum', 'nk']",Positive
"sana yazmak istiyor muyum, evet. yazacak mıyım, hayır.","['yazmak', 'istiyor', 'muyum', 'evet', 'yazacak', 'mym', 'hayr']",Negative
"Bayram seyahatleri sebebiyle Ankara'mızda nüfus azaldı. Buna rağmen hobi bahçeleri ve alt kotlardaki fazla su kullanımı,
şehrimizin yüksek kesimlerinde basınç düşüklüklerinden kaynaklı su sorunu oluşturmaya başladı.

Bu sebeple bazı önlemler almak durumundayız:","['bayram', 'seyahatleri', 'sebebiyle', 'ankaramzda', 'nfus', 'azald', 'ramen', 'hobi', 'baheleri', 'kotlardaki', 'fazla', 'yksek', 'kesimlerinde', 'basn', 'dklklerinden', 'kaynakl', 'sorunu', 'oluturmaya', 'sebeple', 'baz', 'nlemler', 'almak', 'durumundayz', 'kullanm', 'ehrimizin', 'balad']",Positive
Önceki sene mezun ettiğim yetenekli ve başarılı viyolonsel öğrencimi bugün alışveriş yaptığım markette kasada gördüm...onun kasasından alışveriş yapamadım. Çok üzgünüm.,"['nceki', 'sene', 'mezun', 'ettiim', 'yetenekli', 'baarl', 'viyolonsel', 'rencimi', 'bugn', 'alveri', 'yaptm', 'markette', 'kasada', 'grdmonun', 'kasasndan', 'alveri', 'yapamadm', 'ok', 'zgnm']",Positive
Ay doğar mavi mavi💚 https://t.co/DCxoCYyGOx,"['mavi', 'mavi']",Positive
"Kocaeli'de, 17 yaşındaki kızı dershaneden dönerken Afganistan uyruklu erkeğin cinsel ve fiziki saldırısına uğrayan baba:

15 yıldır oy verdiğimiz Sayın Cumhurbaşkanım, bu sizin eseriniz. Siz ve çocuklarınız çok güzel korunuyor.  Biz çocuğumuzu okula, bakkala gönderemiyoruz!","['kocaelide', 'yandaki', 'kz', 'dershaneden', 'dnerken', 'afganistan', 'uyruklu', 'erkein', 'cinsel', 'fiziki', 'saldrsna', 'urayan', 'yldr', 'oy', 'verdiimiz', 'sayn', 'cumhurbakanm', 'eseriniz', 'ocuklarnz', 'ok', 'gzel', 'korunuyor', 'ocuumuzu', 'okula', 'bakkala', 'gnderemiyoruz', 'baba']",Negative
Bugün başıma böyle bir şey geldi… https://t.co/bgNrN5C4bH,"['bugn', 'bama', 'byle', 'ey', 'geldi']",Positive
Çok iyi kaza https://t.co/fflHKfjlsu,"['ok', 'iyi', 'kaza']",Positive
gün gelicek teraziyi bu insanlar tekmelicek https://t.co/OVOH828tjK,"['gn', 'gelicek', 'teraziyi', 'insanlar', 'tekmelicek']",Positive
"Aleyna Çakır'ın babası: (Ümit Can Uygun'un tahliye edilmesi)

Bu yapılan gariban çocuğuna değil de zengin çocuğuna yapılsaydı şimdiye ülkeyi ayağı kaldırırlardı. Ama bizim paramız olmadığı için örtbas ediliyor... https://t.co/n3OFb6grwu","['aleyna', 'akrn', 'babas', 'uygunun', 'tahliye', 'yaplan', 'gariban', 'ocuuna', 'deil', 'zengin', 'ocuuna', 'yaplsayd', 'imdiye', 'lkeyi', 'aya', 'kaldrrlard', 'paramz', 'olmad', 'iin', 'rtbas', 'ediliyor', 'edilmesi']",Negative
Her köşesi cinnetim...,"['kesi', 'cinnetim']",Negative
"Sınırlarımızı koruyalım demek, mülteci akınına karşı çıkmak ırkçılık değil, ülkemizin yol geçen hanına dönüştürülmesine karşı çıkmaktır. Bu kadar mülteci akınının neden olacağı sorunları hesaba katmalıyız.","['snrlarmz', 'koruyalm', 'demek', 'mlteci', 'aknna', 'kmak', 'rklk', 'deil', 'lkemizin', 'yol', 'hanna', 'dntrlmesine', 'kmaktr', 'mlteci', 'aknnn', 'olaca', 'sorunlar', 'hesaba', 'katmalyz']",Positive
"Şunu şimdiden söyleyelim..
Ülkemize Afganlı göçü yok, Afganlı genç erkek sevkiyatı var!..","['imdiden', 'afganl', 'g', 'yok', 'afganl', 'gen', 'erkek', 'sevkiyat', 'syleyelim', 'lkemize']",Negative
